"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.13220693266681e-20,0.929377226823775,0.088,0.131,1.49284223307649e-15,"1","Fer"
7.60074092020037e-12,0.927675035937917,0.098,0.135,1.59091108200714e-07,"1","Usp3"
1.7804189665436e-12,0.924262335771539,0.129,0.177,3.72659493887241e-08,"1","Rnf8"
1.98900837008147e-13,0.922566099604386,0.12,0.166,4.16319341941752e-09,"1","Gtf3c2"
1.28788277720152e-21,0.921781758319079,0.071,0.111,2.69566744096049e-17,"1","Xpo4"
3.52897409136737e-19,0.921296119917299,0.068,0.103,7.38649567064104e-15,"1","Elp4"
3.31156876005975e-12,0.920939804223391,0.13,0.178,6.93144457168107e-08,"1","Cdk8"
2.11928090686556e-41,0.919749790760541,0.445,0.491,4.43586686616031e-37,"1","Mak"
9.45730329666423e-19,0.91953576252504,0.074,0.111,1.97950815302479e-14,"1","Ncoa7"
1.3924373334111e-07,0.918242714128264,0.152,0.198,0.00291451058256277,"1","N4bp2"
1.78499485953336e-13,0.918193406005976,0.092,0.13,3.73617274048928e-09,"1","Slf1"
1.79877673824682e-09,0.917332254266229,0.142,0.189,3.76501959082442e-05,"1","Styx"
7.70920236028475e-17,0.916017700647369,0.134,0.19,1.6136131460312e-12,"1","Igsf9"
9.65205461279244e-16,0.915395835426966,0.152,0.215,2.02027155100359e-11,"1","Gtf2ird1"
3.91376429348841e-14,0.915370066235134,0.172,0.237,8.19190004270059e-10,"1","Tmem243"
7.38962945241805e-19,0.915234348254027,0.086,0.125,1.54672334068562e-14,"1","Stx5a"
1.57549058679616e-35,0.914426009800708,0.437,0.489,3.29765934722305e-31,"1","Mtdh"
1.13448094317602e-07,0.91294627824265,0.099,0.121,0.00237458206216172,"1","Pde6h"
2.23930680010128e-32,0.911861477566302,0.42,0.462,4.687093063292e-28,"1","Cep164"
6.55031593854032e-23,0.911067830018122,0.09,0.136,1.37104662909587e-18,"1","Mrpl38"
2.35259355313371e-15,0.910002030645152,0.09,0.129,4.92421356606418e-11,"1","Gphn"
5.11789248638408e-27,0.909872703084252,0.074,0.118,1.07122607632505e-22,"1","Uqcc1"
2.2088230520817e-12,0.909581743394041,0.166,0.228,4.62328753031221e-08,"1","Ric3"
5.52237565766233e-12,0.909361100430463,0.159,0.216,1.1558884489053e-07,"1","Cwf19l2"
2.56166007203536e-08,0.909124767754067,0.198,0.266,0.000536181069677721,"1","Frmpd2"
2.74599200576572e-28,0.908257723171862,0.12,0.185,5.74763586726823e-24,"1","Diaph3"
1.26889369314578e-28,0.908236288060845,0.076,0.123,2.65592138912343e-24,"1","Slx1b"
3.48996605889955e-11,0.907302899561835,0.073,0.102,7.30484795788265e-07,"1","Ccny"
2.60405731267201e-14,0.904615202369045,0.372,0.426,5.45055236115377e-10,"1","Chd9"
4.35757345105181e-23,0.904264039433622,0.082,0.126,9.12083699039654e-19,"1","Gtf3c3"
1.28077875741786e-12,0.90381318051614,0.131,0.179,2.68079801715132e-08,"1","Slc25a22"
